sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
-0.5384615384615383,-1.0,-0.3428571428571429,-0.1249999999999999,1
0.3076923076923078,-1.5999999999999996,0.0857142857142856,0.1249999999999999,1
-0.5384615384615383,1.5999999999999996,-0.7714285714285716,-0.625,0
0.7692307692307688,0.4000000000000003,0.4857142857142858,0.6249999999999999,2
-0.0769230769230766,-0.4000000000000003,-0.0285714285714287,0.0,1
0.6923076923076922,0.0,0.2857142857142857,0.6249999999999999,2
-0.6923076923076915,0.2000000000000001,-0.7714285714285716,-0.75,0
-0.5384615384615383,1.5999999999999996,-0.742857142857143,-0.6875000000000001,0
-1.076923076923076,-0.2000000000000001,-0.8000000000000002,-0.6875000000000001,0
0.9999999999999992,0.0,0.4857142857142858,0.5000000000000001,2
0.5384615384615383,0.4000000000000003,0.257142857142857,0.4375,2
-0.6923076923076915,0.0,-0.8000000000000002,-0.6875000000000001,0
-0.6153846153846149,0.0,-0.742857142857143,-0.6875000000000001,0
0.1538461538461539,-0.2000000000000001,0.0857142857142856,0.1249999999999999,1
-0.2307692307692305,-1.2000000000000002,-0.1142857142857144,-0.1249999999999999,1
1.0769230769230766,0.4000000000000003,0.5142857142857143,0.3125,2
-0.6153846153846149,0.7999999999999998,-0.742857142857143,-0.5625000000000001,0
-0.8461538461538454,0.4000000000000003,-0.742857142857143,-0.6875000000000001,0
0.6923076923076922,0.5999999999999996,0.4285714285714286,0.75,2
0.0769230769230772,0.4000000000000003,0.1714285714285713,0.3125,1
-0.3076923076923071,0.7999999999999998,-0.7714285714285716,-0.5625000000000001,0
0.3846153846153844,-0.5999999999999996,0.2,0.3125,2
1.3846153846153837,0.0,0.6857142857142856,0.5000000000000001,2
1.461538461538461,-0.4000000000000003,0.7142857142857144,0.4375,2
-0.0769230769230766,0.0,0.0,-0.0625,1
-0.9230769230769228,0.7999999999999998,-0.8000000000000002,-0.625,0
-0.5384615384615383,1.4000000000000004,-0.7714285714285716,-0.5625000000000001,0
-0.3076923076923071,1.7999999999999998,-0.8285714285714287,-0.5625000000000001,0
0.8461538461538461,0.2000000000000001,0.2,0.1249999999999999,1
-0.2307692307692305,-1.0,-0.0571428571428572,0.0,1
-0.0769230769230766,2.8000000000000007,-0.7714285714285716,-0.5625000000000001,0
-0.5384615384615383,1.0,-0.8000000000000002,-0.625,0
0.0,-0.5999999999999996,-0.0285714285714287,-0.1875,1
-0.1538461538461539,-0.2000000000000001,-0.1714285714285714,0.0,1
-0.7692307692307688,0.0,-0.8000000000000002,-0.75,0
-0.7692307692307688,0.0,-0.8000000000000002,-0.625,0
0.6923076923076922,0.2000000000000001,0.0571428571428572,0.0624999999999999,1
0.3846153846153844,-1.0,0.2285714285714285,0.3749999999999999,2
1.615384615384615,1.5999999999999996,0.6285714285714287,0.4375,2
-0.5384615384615383,1.0,-0.8000000000000002,-0.6875000000000001,0
0.4615384615384617,-0.4000000000000003,0.3999999999999999,0.5000000000000001,2
-0.9230769230769228,0.4000000000000003,-0.8000000000000002,-0.6875000000000001,0
0.1538461538461539,-1.5999999999999996,0.2285714285714285,0.1249999999999999,2
-0.2307692307692305,1.0,-0.8285714285714287,-0.6875000000000001,0
0.3846153846153844,0.5999999999999996,0.5142857142857143,0.75,2
0.1538461538461539,-1.5999999999999996,-0.0571428571428572,-0.1875,1
